Jogador,Intervalo,Nação,Pos.,Equipe,MP,Inícios,Min.,90s,Gols,Assis.,G-PB,PB,PT,CrtsA,CrtV,Gols,Assis.,G+A,G-PB,G+A-PB,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,-9999
Olivier Giroud,2022,fr FRA,FW,France,1,1,88,1.0,2,0,2,0,0,0,0,205,000,205,205,205,1.7,1.7,0.1,18,176,013,188,176,188,16ceb862
Bukayo Saka,2022,eng ENG,FW,England,1,1,69,0.8,2,0,2,0,0,0,0,261,000,261,261,261,0.2,0.2,0.1,03,027,013,040,027,040,bc7dc64d
Mehdi Taremi,2022,ir IRN,FW,IR Iran,1,1,90,1.0,2,0,1,1,1,0,0,200,000,200,100,100,1.0,0.2,0.0,03,103,002,105,024,026,4c2a5d34
Ferrán Torres,2022,es ESP,FW,Spain,1,1,56,0.6,2,0,1,1,1,0,0,321,000,321,161,161,0.9,0.1,0.0,01,148,000,148,021,021,9e1035f8
Enner Valencia,2022,ec ECU,FW,Ecuador,1,1,76,0.8,2,0,1,1,1,0,0,237,000,237,118,118,1.0,0.2,0.0,02,114,000,114,021,021,fb485406
Takuma Asano,2022,jp JPN,FW,Japan,1,0,34,0.4,1,0,1,0,0,0,0,265,000,265,265,265,0.3,0.3,0.0,03,079,000,079,079,079,13ddc856


